,reviewText,summary
0,"I got to chapter 10, the last chapter, and there are missing lines or pages or who knows what. Page 80 ends in an incomplete sentence and page 81 begins with a new paragraph. Who knows how much text is missing. This happens again on page 81 which ends in a complete sentence but page 82 begins in the middle of a sentence. Again who knows how much is missing. I stopped reading there. Do not buy this, the paperback, edition.<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/The-39-Steps/dp/1500911135/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">The 39 Steps</a>",Do NOT buy the paperback edition. It is missing unknown quantities of text almost to the end of the book.
1,"The Darkness is a very dark story of loneliness and despair.  The story teller does an exceptional Jon of dragging you, kicking and screaming, toward the darkness forcing you to face your fear of being secluded and alone in a vast empty world.  I would recommend taking this journey to the edge of sanity and explore the fear lying just inside the shadows of the Forrest.",Darkness smothers your soul with despair forcing your courage to find the light
2,"This was touted as being very much like the Discworld novels of Prattchet. While it wasn't a bad read, it doesn't even begin to approach Prattchet's character development and nuance. Disappointing from that aspect. I'd certainly have liked it better if I hadn't been misled by other reviews. Surely not the Author's fault.",This was touted as being very much like the Discworld novels of Prattchet
3,"This is an impressive book for such a young writer. I was captivated from the first chapter and really enjoyed the way the characters and storyline developed. The writing needs tighter editing in places, but that will come with further experience. I think young adults would really warm to this story, and the cliffhanger ending whets the appetite to learn more.",I was captivated from the first chapter and really enjoyed the way the characters and storyline developed
4,"I think maybe too much detail on the sufing, I found not so interesting. BUT....it got really good. The ending was quite interesting. The last several chapters, I didn't want to put it down. The ending makes you really think..it can be interpreted different ways. The author tells you his thoughts on the ending and includes a link to it in the electronic copy.",Unexpected two stories that combine toward the end. I like it.
5,Another must own by Andrew Grey. Grant and Hunter new each other in high school and unwittingly have much in common. When they meet again they have many obstacles to overcome but an expanding friendship and burgeoning love to build on. Hunter has a great group of friends and coworkers that you already want to spend more time with. There is great insite into Hunter's carear that is inciteful and very respectful. It's a story of making difficult decisions inorder to make your life what you want. Of trying not to pay too high a price for your family's addictions. It is a gift from Mr. Grey.,When they meet again they have many obstacles to overcome but an expanding friendship and burgeoning love to build on
6,"I flew through this book!!!

Abby writes a focused, fun and gutsy account of starting her business. I love how she gave us the real look at the hard parts as well as the amazing parts of her entrepreneurial adventure from 2012 through 2017.

Shes enthusiastic and honest. I winced through some of the stories and wanted to hug her in other stories. Even though we have more resources to start a business, its still hard and risky. Abby shows the importance of persistence, asking questions and having a support network.

Definitely a book I will re-read!","A great real story of the ups, downs and everything in between!!!"
7,"I promise that any fantasy reader will absolutely love this series. When I say this it may sound silly but this book series absolutely changed my life in the best way possible. I absolutely fell in love with the characters, story and setting. I am currently finishing the last book and am in still in awe of how amazing J.K Rowling writes. I truly believe these books are amazing and I really mean it.",I promise that any fantasy reader will absolutely love this series
8,"I guess I was just hoping for too much.  The book is full of logical inconsistencies and anecdotal evidence, despite claiming--in at least one part of the book--scientifically prove the existence of God.

I'm currently struggling with my faith as a Christian, and if anything, this book weakened my faith.",Geisler and Turek need to learn the definition of scientific evidence
9,"Having read most of the books written by this author, this one seemed a little far fetched.
I couldn't help thinking that this was a rush job that would wrap everything up with a neat little bow and bring this to an end.
While I've come to expect a great deal of violence from the other books, there were times when this book seemed to use it just for the shock value
I will continue to read more by this author particularly his books about Northern Ireland and Belfast.",While I've come to expect a great deal of violence from the other books
